sample,point_name,width,thickness,E,Yield stress,Yield strain,Failure stress,Elongation,UTS
10,J,1.2,0.82,15862342779,595528455.3,0.0576,660569105.7,0.3788,1011.8023
10,K,1.21,1.03,16869742237,534381770,0.052,679611650.5,0.4453,988.1625
10,L,1.2,1,16578976354,562500000,0.0541,682500000,0.4402,902.3402
11,A,1.23,1.17,15020234527,522548815.2,0.0548,648321867.8,0.4351,1065.6847
11,B,1.24,0.98,15072953030,599078341,0.0599,703587886.8,0.4265,950.3247
11,C,1.23,0.89,14575414786,587375536.7,0.0607,597423951.8,0.3803,817.5814
11,D,1.2,0.97,16243567252,614261168.4,0.0581,703608247.4,0.4153,947.7382
11,E,1.22,0.87,19298227157,602035048,0.0515,623704541.2,0.3605,826.1439
11,F,1.23,0.83,16446532287,584778136.9,0.0559,639631697.5,0.4301,722.7346
11,G,1.22,0.95,15548941020,576358930.1,0.0574,795513373.6,0.3803,886.5439
11,H,1.19,0.88,14528875848,578686019.9,0.0599,670359052.7,0.4331,810.1987
11,I,1.21,0.85,16516497875,579484686.4,0.0553,706854642.7,0.3854,780.1021
11,J,1.22,1.1,17060965464,559612518.6,0.0531,638599105.8,0.3915,986.0424
11,K,1.18,1.04,14484216979,544328552.8,0.0579,673076923.1,0.4163,995.0292
11,L,1.2,1,16207611439,591666666.7,0.0566,727500000,0.3996,895.5882
12,A,1.22,1.16,14125745599,523600904.5,0.0574,635245901.6,0.4526,1076.6252
12,B,1.21,1.02,15199965436,572840706.5,0.0579,604440123.2,0.442,947.9344
12,C,1.2,0.87,16601423618,591954023,0.0559,656130268.2,0.4245,834.9909
12,D,1.2,0.98,16454640391,607142857.1,0.0571,642006802.7,0.428,985.6382
12,E,1.21,0.88,17710625439,566303531.2,0.052,570999248.7,0.4483,808.7512
12,F,1.23,0.81,17396252391,561075981.1,0.0523,576131687.2,0.4179,744.1254
12,G,1.22,0.99,16182928087,589501573.1,0.0569,603576751.1,0.426,951.7479
12,H,1.22,0.9,15280054028,572859745,0.0579,712204007.3,0.4052,842.6612
12,I,1.21,0.87,15154567766,611760235.6,0.0604,629809062.4,0.3808,823.4047
12,J,1.22,1.09,14329393308,535418860,0.0576,653481726.6,0.4407,1032.1536
12,K,1.19,1.07,14539861600,565459828.8,0.0589,590591376.7,0.4625,1034.181
12,L,1.22,1.03,13518397314,543530160.8,0.0604,646983924.9,0.4036,916.7263
13,A,1.21,1.11,15030681576,515225969.8,0.0546,525649616.6,0.4788,976.5088
13,B,1.22,1.05,15374961196,502732240.4,0.0528,640124902.4,0.4653,916.0808
13,C,1.16,0.94,16256229607,552090975.8,0.0543,637380777.7,0.4229,827.0452
13,D,1.19,0.93,15794344626,511430378.6,0.0531,609921387.9,0.4636,834.5224
13,E,1.22,0.9,14798400151,502732240.4,0.0543,520947176.7,0.4427,762.2681
13,F,1.22,0.84,14894493659,508391881.3,0.0543,587431694,0.462,738.3549
13,G,1.19,0.87,15314147455,508065295.1,0.0536,576644450.9,0.5275,730.9023
13,H,1.21,0.8,16429726419,554752066.1,0.0538,570247933.9,0.4651,691.449
13,I,1.16,0.81,19369388891,577905491.7,0.05,597062579.8,0.4392,682.4381
13,J,1.21,0.87,15388434552,507267027.6,0.0531,577562458.4,0.5009,763.2237
13,K,1.17,0.9,16833611361,545109211.8,0.0528,622032288.7,0.4252,764.4803
